job_title,company_name,city,salary_raw,salary_min,salary_max,salary_avg,post_date,job_url,skills,ai_level,product_type,tools,enhance_source
AI产品经理,广东省出版集团数字出版,广州·天河区,13-18万/年,10.83,15.0,12.92,2026-03-20 15:33:51,https://jobs.51job.com/guangzhou-thq/171128219.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI产品助理（可培养发展）,大未来（南京）文化科技,沈阳,6-8千,6.0,8.0,7.0,2026-03-19 10:15:36,https://jobs.51job.com/shenyang/170583650.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI视频制作师,合肥盛源汽车涂装技术服务,芜湖·鸠江区,8千-1.2万,8.0,12.0,10.0,2026-03-19 11:37:47,https://jobs.51job.com/wuhu-jjq/171143720.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI动漫制作,广州图峻科技,广州·海珠区,4-6千,4.0,6.0,5.0,2026-03-18 18:00:02,https://jobs.51job.com/guangzhou-hzq/171133046.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI视频剪辑,北京光磊映画传媒科技,北京·朝阳区,7千-1.2万,7.0,12.0,9.5,2026-03-18 23:25:25,https://jobs.51job.com/beijing-cyq/171135517.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI工程师,利民（番禺南沙）电器发展,广州·南沙区,1-1.2万,10.0,12.0,11.0,2026-03-18 16:52:59,https://jobs.51job.com/guangzhou-nsq/171020403.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI训练师,上海久页信息科技,西安,5千-1万,5.0,10.0,7.5,2026-03-19 14:59:40,https://jobs.51job.com/xian/171150067.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
数据标注/AI训练师,上海伍贤信息技术,上海·浦东新区,7-9千,7.0,9.0,8.0,2026-03-19 10:00:09,https://jobs.51job.com/shanghai-pdxq/171138931.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AIGC管培生,北京光磊映画传媒科技,北京·朝阳区,7千-1.2万,7.0,12.0,9.5,2026-03-18 23:21:12,https://jobs.51job.com/beijing-cyq/171135490.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
ai数据标注实习生,深圳星途教育科技,贵阳,5.5-8.8千,5.5,8.8,7.15,2026-03-18 16:58:14,https://jobs.51job.com/guiyang/171130604.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI训练师,上海久页信息科技,上海·杨浦区,7千-1万,7.0,10.0,8.5,2026-03-19 14:58:44,https://jobs.51job.com/shanghai-ypq/171150039.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
数据处理实习生（20-30小时/月）,广州市天河区港澳青年创业服务中心,广州,2-3.5千,2.0,3.5,2.75,2026-03-19 09:41:33,https://jobs.51job.com/guangzhou/171137069.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI智能媒体运营助理,北京光磊映画传媒科技,北京·朝阳区,7千-1.2万,7.0,12.0,9.5,2026-03-19 00:00:13,https://jobs.51job.com/beijing-cyq/171135586.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
Ai音乐标注,山西锦源鸿鑫商贸,太原,2-3.5千,2.0,3.5,2.75,2026-03-20 04:12:50,https://jobs.51job.com/taiyuan/171145419.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI业务提效工程师（销售赋能方向，双休）,深圳市思力铭科技,深圳·宝安区,1.3-1.8万·13薪,13.0,18.0,15.5,2026-03-19 15:11:26,https://jobs.51job.com/shenzhen-baq/171112839.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
人工智能测试工程师,西安云水时代信息科技,西安,9千-1.2万·13薪,9.0,12.0,10.5,2026-03-17 20:17:43,https://jobs.51job.com/xian/171109392.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI产品经理,芯讯通无线科技（上海）,上海·长宁区,1.8-2.8万,18.0,28.0,23.0,2026-03-18 15:03:53,https://jobs.51job.com/shanghai-cnq/171124916.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
人工智能+双休,潍坊市博远人力资源,北京·昌平区,8千-1.2万·13薪,8.0,12.0,10.0,2026-03-19 14:29:45,https://jobs.51job.com/beijing-cpq/171148643.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI玩具APP产品经理 （APP方向）,深圳市慧眼视讯电子,深圳·龙岗区,1.5-3万,15.0,30.0,22.5,2026-03-17 17:49:06,https://jobs.51job.com/shenzhen-lgq/171106499.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
定向储备人才,辽宁北科星科技,沈阳·铁西区,2.2-4千,2.2,4.0,3.1,2026-03-17 17:36:04,https://jobs.51job.com/shenyang-txq/157247986.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
技术支持工程师（AI方向）,上海迅时通信设备,上海·徐汇区,5.5-8千,5.5,8.0,6.75,2026-03-18 10:06:03,https://jobs.51job.com/shanghai-xhq/171113570.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI产品经理,深圳市必威尔科技,深圳·龙岗区,6千-1.2万,6.0,12.0,9.0,2026-03-18 11:59:08,https://jobs.51job.com/shenzhen-lgq/171118673.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
游戏项目管理,深圳市法本信息技术,深圳·南山区,7千-1万,7.0,10.0,8.5,2026-03-18 11:39:23,https://jobs.51job.com/shenzhen-nsq/171118022.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI 高级产品经理,华润五丰（中国）投资,深圳·南山区,2-3万·16薪,20.0,30.0,25.0,2026-03-18 09:04:48,https://jobs.51job.com/shenzhen-nsq/169865273.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI训练师,西安云水时代信息科技,西安,8-9千·13薪,8.0,9.0,8.5,2026-03-17 22:25:10,https://jobs.51job.com/xian/171109925.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
AI项目合伙人,泉州驰格信息咨询,泉州,2-4千,2.0,4.0,3.0,2026-03-21 04:03:23,https://jobs.51job.com/quanzhou/171133441.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
数据标注专员（接受实习生),深圳市法本信息技术,南宁,3-5千,3.0,5.0,4.0,2026-03-18 11:40:39,https://jobs.51job.com/nanning/171118058.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
兼/职装饰工程助理安管员160一天,合肥新空装饰装修,合肥,2.5-3.5千,2.5,3.5,3.0,2026-03-20 04:12:54,https://jobs.51job.com/hefei/171123580.html?s=sou_sou_soulb&t=0_0&req=49369a213551b0cef0d0d9a925aa953d,,,,,not_sampled
